class_id,class_name,pixels,pct,area_ha,area_km2
61,Fallow/Idle Cropland,7426247,28.3318,57742.46,577.4246
75,Almonds,3011056,11.4875,23412.33,234.1233
76,Walnuts,2387806,9.1097,18566.28,185.6628
54,Tomatoes,1942579,7.4111,15104.44,151.0444
3,Rice,1731503,6.6058,13463.23,134.6323
176,Grass/Pasture,1359253,5.1857,10568.81,105.6881
24,Winter Wheat,1231983,4.7001,9579.23,95.7923
6,Sunflower,913565,3.4853,7103.38,71.0338
122,Developed/Low Intensity,632042,2.4113,4914.42,49.1442
36,Alfalfa,575672,2.1962,4476.11,44.7611
123,Developed/Med Intensity,570466,2.1764,4435.63,44.3563
220,Plums,560637,2.1389,4359.21,43.5921
121,Developed/Open Space,536853,2.0481,4174.28,41.7428
195,Herbaceous Wetlands,381008,1.4536,2962.51,29.6251
37,Other Hay/Non Alfalfa,375842,1.4339,2922.34,29.2234
111,Open Water,331675,1.2654,2578.92,25.7892
69,Grapes,327883,1.2509,2549.44,25.4944
33,Safflower,240323,0.9169,1868.62,18.6862
204,Pistachios,203826,0.7776,1584.84,15.8484
190,Woody Wetlands,173782,0.663,1351.23,13.5123
124,Developed/High Intensity,127919,0.488,994.63,9.9463
48,Watermelons,118805,0.4533,923.76,9.2376
28,Oats,96406,0.3678,749.6,7.496
152,Shrubland,95610,0.3648,743.41,7.4341
21,Barley,88582,0.3379,688.77,6.8877
1,Corn,86009,0.3281,668.76,6.6876
211,Olives,77289,0.2949,600.96,6.0096
210,Prunes,76737,0.2928,596.67,5.9667
42,Dry Beans,64263,0.2452,499.67,4.9967
44,Other Crops,63890,0.2437,496.77,4.9677
50,Cucumbers,57450,0.2192,446.7,4.467
67,Peaches,56248,0.2146,437.35,4.3735
131,Barren,39446,0.1505,306.71,3.0671
205,Triticale,32272,0.1231,250.93,2.5093
27,Rye,26080,0.0995,202.78,2.0278
57,Herbs,24838,0.0948,193.13,1.9313
71,Other Tree Crops,24107,0.092,187.44,1.8744
58,Clover/Wildflowers,22130,0.0844,172.07,1.7207
222,Squash,18850,0.0719,146.57,1.4657
74,Pecans,16109,0.0615,125.25,1.2525
23,Spring Wheat,10502,0.0401,81.66,0.8166
66,Cherries,10249,0.0391,79.69,0.7969
4,Sorghum,8559,0.0327,66.55,0.6655
213,Honeydew Melons,6542,0.025,50.87,0.5087
208,Garlic,6181,0.0236,48.06,0.4806
2,Cotton,5938,0.0227,46.17,0.4617
53,Peas,4937,0.0188,38.39,0.3839
209,Cantaloupes,4817,0.0184,37.45,0.3745
68,Apples,4132,0.0158,32.13,0.3213
229,Pumpkins,3232,0.0123,25.13,0.2513
77,Pears,2949,0.0113,22.93,0.2293
217,Pomegranates,2521,0.0096,19.6,0.196
224,Vetch,2487,0.0095,19.34,0.1934
92,Aquaculture,2235,0.0085,17.38,0.1738
226,Dbl Oats/Corn,1457,0.0056,11.33,0.1133
142,Evergreen Forest,1232,0.0047,9.58,0.0958
49,Onions,1061,0.004,8.25,0.0825
225,Dbl WinWht/Corn,872,0.0033,6.78,0.0678
72,Citrus,864,0.0033,6.72,0.0672
143,Mixed Forest,854,0.0033,6.64,0.0664
59,Sod/Grass Seed,731,0.0028,5.68,0.0568
12,Sweet Corn,609,0.0023,4.74,0.0474
216,Peppers,473,0.0018,3.68,0.0368
228,Class 228,410,0.0016,3.19,0.0319
141,Deciduous Forest,301,0.0011,2.34,0.0234
51,Chick Peas,200,0.0008,1.56,0.0156
13,Pop/Orn Corn,94,0.0004,0.73,0.0073
47,Misc Vegs & Fruits,69,0.0003,0.54,0.0054
237,Class 237,47,0.0002,0.37,0.0037
221,Strawberries,46,0.0002,0.36,0.0036
206,Carrots,12,0.0,0.09,0.0009
227,Lettuce,10,0.0,0.08,0.0008
